"","Year","HEALTH_AUTHORITY","HOSPITAL_NAME","CATEGORY","WAITING","COMPLETED","COMPLETED_50TH_PERCENTILE","COMPLETED_90TH_PERCENTILE"
"1",2009,"All Health Authorities","All Facilities","All Procedures",72133,219512,5.3,24.3
"2",2009,"All Health Authorities","All Facilities","Cardiovascular System",2434,4358,4.66,22.96
"3",2009,"All Health Authorities","All Facilities","Digestive System",8546,24675,5.79333333333333,28.8266666666667
"4",2009,"All Health Authorities","All Facilities","Ear, Nose, and Throat System",8413,16416,8.52,32.52
"5",2009,"All Health Authorities","All Facilities","Endocrine System",309,1263,4.9,16.1
"6",2009,"All Health Authorities","All Facilities","Eye and Vision System",14723,53867,4.26666666666667,21.8666666666667
"7",2009,"All Health Authorities","All Facilities","Female Reproductive System",6068,26622,4.65,16.6833333333333
"8",2009,"All Health Authorities","All Facilities","General Procedures (Multiple Systems/Non-Specific)",2002,10064,3.275,14.65
"9",2009,"All Health Authorities","All Facilities","Male Reproductive System",2222,7430,5.96666666666667,27.1
"10",2009,"All Health Authorities","All Facilities","Musculoskeletal System",18488,41790,7.88125,32.21875
"11",2009,"All Health Authorities","All Facilities","Nervous System",697,2170,2.25,13.7
"12",2009,"All Health Authorities","All Facilities","Respiratory System",148,1441,2.5,5.7
"13",2009,"All Health Authorities","All Facilities","Skin and Soft Tissue System",4558,15478,4.95,22.22
"14",2009,"All Health Authorities","All Facilities","Urinary System",3526,13942,3.73333333333333,16.7333333333333
"15",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","All Procedures",2376,5041,7.3,30.3
"16",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Cardiovascular System",112,317,4.38,14.5
"17",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Digestive System",318,843,10.18,22.75
"18",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Ear, Nose, and Throat System",177,530,14.0555555555556,29.8444444444444
"19",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Endocrine System",11,96,5.2,12.9
"20",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Eye and Vision System",18,35,13.9,59.9
"21",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Female Reproductive System",410,986,7.6,22.02
"22",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","General Procedures (Multiple Systems/Non-Specific)",44,113,3.7,18.2666666666667
"23",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Male Reproductive System",231,243,10.9,53.1333333333333
"24",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Musculoskeletal System",432,976,10.2833333333333,25.9083333333333
"25",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Nervous System",5,7,2,8.4
