"","year","gender","age_group","total_current_dollars","total_current_dollars_per_capita"
"1","2009","F","middle-age",6648365793,43057
"2","2009","F","minor",1304204278,24387
"3","2009","F","senior",6341276122,138183
"4","2009","M","middle-age",5643496801,36890
"5","2009","M","minor",1450135284,26515
"6","2009","M","senior",5119577611,139461
"7","2010","F","middle-age",6970375993,44484
"8","2010","F","minor",1360206902,26078
"9","2010","F","senior",6625478434,139156
"10","2010","M","middle-age",5935962238,38110
"11","2010","M","minor",1483186140,27375
"12","2010","M","senior",5568838890,145478
"13","2011","F","middle-age",7061430786,44593
"14","2011","F","minor",1339100731,25455
"15","2011","F","senior",7313125214,152740
"16","2011","M","middle-age",6070766215,38567
"17","2011","M","minor",1440814316,26537
"18","2011","M","senior",5965891757,154568
"19","2012","F","middle-age",7290461250,45308
"20","2012","F","minor",1373146085,25858
"21","2012","F","senior",8068418362,168025
"22","2012","M","middle-age",6288334530,39443
"23","2012","M","minor",1482842035,27782
"24","2012","M","senior",6471957048,165104
"25","2013","F","middle-age",7369111744,45090
"26","2013","F","minor",1371518909,25662
"27","2013","F","senior",8479557287,173120
"28","2013","M","middle-age",6399026297,39638
"29","2013","M","minor",1484444132,28200
"30","2013","M","senior",6791579264,168573
"31","2014","F","middle-age",7531556335,45268
"32","2014","F","minor",1388022557,26176
"33","2014","F","senior",8764830288,174262
"34","2014","M","middle-age",6568506932,40099
"35","2014","M","minor",1509265322,28437
"36","2014","M","senior",7113325817,169241
"37","2015","F","middle-age",7744735404,46038
"38","2015","F","minor",1441090356,27200
"39","2015","F","senior",9026225782,174782
"40","2015","M","middle-age",6893120841,41724
"41","2015","M","minor",1542141345,28985
"42","2015","M","senior",7502406676,171377
"43","2016","F","middle-age",8155116166,47629
"44","2016","F","minor",1537166247,28988
"45","2016","F","senior",9022882486,169209
"46","2016","M","middle-age",7520795043,44725
"47","2016","M","minor",1627584262,30745
"48","2016","M","senior",7703019481,167733
"49","2017","F","middle-age",8413920684,48660
"50","2017","F","minor",1612343579,30068
"51","2017","F","senior",9148219664,166753
"52","2017","M","middle-age",7972943287,46960
"53","2017","M","minor",1689579469,31455
"54","2017","M","senior",7995373783,167493
"55","2018","F","middle-age",8735266365,49889
"56","2018","F","minor",1643000573,30412
"57","2018","F","senior",9589022170,169844
"58","2018","M","middle-age",8340662304,48567
"59","2018","M","minor",1744188644,32938
"60","2018","M","senior",8422340021,169947
"61","2019","F","middle-age",9143056971,51532
"62","2019","F","minor",1703078760,31616
"63","2019","F","senior",10301729503,177290
"64","2019","M","middle-age",8723021471,50148
"65","2019","M","minor",1841565198,35626
"66","2019","M","senior",9131134563,177875
"67","2020","F","middle-age",9908990441,55435
"68","2020","F","minor",1828579707,35140
"69","2020","F","senior",11292899438,188363
"70","2020","M","middle-age",9566101136,54637
"71","2020","M","minor",1936760158,38889
"72","2020","M","senior",10066324196,189042
"73","2021","F","middle-age",10747365820,59791
"74","2021","F","minor",2031164548,38115
"75","2021","F","senior",12159718275,195504
"76","2021","M","middle-age",10518024551,59782
"77","2021","M","minor",2109129177,40937
"78","2021","M","senior",10854939123,196664
"79","2022","F","middle-age",11273792028,61537
"80","2022","F","minor",2165020107,39103
"81","2022","F","senior",13048791595,203736
"82","2022","M","middle-age",10929554264,61217
"83","2022","M","minor",2310243619,42751
"84","2022","M","senior",11710854275,206739
